Position,Starting Grid
1,2
2,1
3,4
4,3
5,5
6,7
7,11
8,9
9,16
10,15
11,17
12,8
13,10
14,13
15,14
16,19
17,20
1,3
2,4
3,1
4,5
5,2
6,9
7,8
8,13
9,12
10,14
11,16
12,15
13,6
14,18
15,19
16,20
17,17
18,10
19,7
1,2
2,1
3,3
4,5
5,4
6,6
7,7
8,12
9,13
10,20
11,10
12,16
13,9
14,14
15,19
16,17
17,18
18,15
1,1
2,2
3,3
4,4
5,8
6,5
7,9
8,7
9,13
10,19
11,11
12,17
13,12
14,15
15,16
16,18
1,2
2,1
3,4
4,3
5,5
6,6
7,8
8,12
9,9
10,7
11,11
12,13
13,20
14,14
15,15
16,18
17,19
18,17
1,1
2,4
3,2
4,3
5,8
6,9
7,7
8,10
9,6
10,13
11,12
12,16
13,11
14,5
15,19
16,17
17,14
18,20
19,18
1,2
2,1
3,3
4,6
5,9
6,4
7,7
8,5
9,17
10,10
11,11
12,15
13,12
14,14
15,16
16,18
17,20
18,19
1,1
2,2
3,3
4,4
5,7
6,6
7,12
8,13
9,5
10,9
11,8
12,14
13,17
14,19
15,11
16,10
17,15
18,18
19,20
1,2
2,1
3,3
4,9
5,4
6,5
7,8
8,19
9,6
10,7
11,13
12,12
13,15
14,14
15,18
16,11
17,16
18,20
19,10
20,17
1,2
2,1
3,3
4,5
5,4
6,13
7,7
8,12
9,17
10,10
11,8
12,9
13,18
14,19
15,20
16,6
17,15
1,2
2,20
3,14
4,15
5,7
6,16
7,6
8,12
9,1
10,18
11,17
12,5
13,11
14,4
1,3
2,1
3,5
4,4
5,8
6,6
7,10
8,2
9,7
10,12
11,16
12,11
13,14
14,20
15,13
16,15
17,18
18,17
19,19
1,1
2,3
3,4
4,2
5,17
6,7
7,19
8,12
9,13
10,16
11,11
12,8
13,9
14,10
15,14
16,6
17,20
18,18
1,1
2,3
3,2
4,5
5,6
6,8
7,18
8,19
9,10
10,16
11,17
12,9
13,4
14,14
15,20
16,13
17,15
1,3
2,1
3,4
4,2
5,5
6,6
7,9
8,11
9,8
10,10
11,17
12,7
13,16
14,20
15,14
16,19
17,13
1,2
2,4
3,1
4,9
5,20
6,5
7,11
8,7
9,13
10,6
11,14
12,19
13,15
14,16
15,12
1,3
2,1
3,4
4,6
5,7
6,2
7,9
8,17
9,12
10,14
11,8
12,13
13,10
14,11
15,19
16,18
17,20
1,3
2,2
3,6
4,1
5,5
6,4
7,11
8,13
9,10
10,12
11,9
12,16
13,7
14,15
15,17
16,19
17,18
18,20
1,1
2,5
3,3
4,4
5,6
6,9
7,8
8,7
9,11
10,20
11,17
12,13
13,14
14,16
15,15
16,10
17,18
18,12
1,1
2,6
3,20
4,8
5,12
6,11
7,3
8,10
9,15
10,16
11,9
12,18
13,7
14,5
15,13
16,19
17,2
18,14
19,17
1,1
2,2
3,3
4,20
5,4
6,5
7,10
8,6
9,13
10,8
11,7
12,9
13,17
14,14
15,15
16,16
17,18
18,11
19,19
